id,place,duration,title,date
yKJq6VBzuIU,Historic town of guanajuato and adjacent mines,451,Top 5 Things To Do in Guanajuato City,20210520
TlilLG0Eqto,Historic town of guanajuato and adjacent mines,560,"THE BEST HIDDEN GEM IN MEXICO! Exploring the city of Guanajuato, visiting ALL of our favorite spots!",20210215
00Jk2Cc4ZMI,Historic town of guanajuato and adjacent mines,1654,"Walking Through Guanajuato, Mexico - Street View of the City",20210202
7k33UL78UN8,Historic town of guanajuato and adjacent mines,513,"Guanajuato Travel Guide 2021 | The city of Mummies, Narrow Alleys and Colonial Architecture",20210324
O5N5IItEGWA,Historic town of guanajuato and adjacent mines,734,Alles over de DJI MINI 2 en de drone regelgeving in 2021! - Review DJI Mini 2 - Kamera Express,20210128
zMWEUHbUvVA,Im cultural area,404,Is this THE END for YOU flying DJI Mini 2 in EU Urban Areas after 2022?  ⭐ EASA/EU Drone Rules ⭐,20211019
eCdZE5DJrx8,Historic town of guanajuato and adjacent mines,1481,Inside Mexico's Most Dangerous Hood 🇲🇽,20210502
N2Pvr22gTo4,Willandra lakes region,601,5 Monster Volcano Eruptions Caught On Camera,20210304
WwSpHDzf0mE,Historic town of guanajuato and adjacent mines,733,"GUANAJUATO City in 2021 🦴 Museum of the Mummies of Guanajuato, Beautiful streets & Hiking Trails",20210516
2nfN-05hej0,Historic town of guanajuato and adjacent mines,274,"Guanajuato City, Guanajuato, Mexico",20200302
Ml8x_Z1k_TQ,Historic town of guanajuato and adjacent mines,59,The Valencia Mine Decent in Guanajuato Mexici,20171002
VSrrdT73X4w,Historic town of guanajuato and adjacent mines,107,"Guanajuato, drone flight",20210204
Ghwzwk8rsGY,Historic town of guanajuato and adjacent mines,37,Guanajuato with a drone,20210430
Y0kWocY7LJ4,Historic town of guanajuato and adjacent mines,120,Guanajuato 4K | DJI Phantom 3 Professional,20150625
m395m5Tmi4s,Historic town of guanajuato and adjacent mines,307,"Guanajuato, Mexico (Гуанахуато, Мексика)",20190313
WU9n61VYgEc,Historic town of ouro preto,163,Historic Town of Ouro Preto (UNESCO/NHK),20130326
eNEfZE2uHR8,Historic town of ouro preto,614,"UNFORGETTABLE PLACE Ouro Preto, Brazil - in ENGLISH, unforgettable colonial town",20210103
uIYwlQlxJc8,Historic town of ouro preto,366,"Walking Ouro Preto - Minas Gerais, BRAZIL (Narrated) | UNESCO World Heritage Site",20200305
JRnLZRzydg8,Historic town of ouro preto,161,Ouro Preto. Brasil. DJi Mavic Pro 4K,20181115
8LIQ_4qWm4w,Historic town of ouro preto,640,Safest & Best Town to visit in Brazil: Ouro Preto!,20210929
FcWfLH9pXQ8,Historic town of ouro preto,146,Ouro Preto: Brazil's baroque masterpiece,20120415
TDDFtL2WE8s,Historic town of ouro preto,696,This is BRAZIL as You've Never Seen Before... 🇧🇷 (UNFORGETTABLE TOWN),20191121
OLANsNeIU5A,Historic town of ouro preto,343,UNESCO World Heritage Historic Town Ouro Preto,20170109
Io6obxeUo-g,Historic town of ouro preto,288,Vista aérea de Ouro Preto como você nunca viu!,20210113
DWxfR_4CRG4,Historic town of ouro preto,164,Ouro Preto - Minas Gerais: história de um dos mais importantes municípios mineiros,20180628
QHq2kCaXVbo,Historic town of ouro preto,1055,"OURO PRETO, BRAZIL   Aerial View   DRONE 4K",20201102
BsSJKzWZphQ,Historic town of ouro preto,203,Ouro Preto - Brazil - Drone,20170702
BDzRQ39H-wo,Sgang gwaay,210,"Visit Minas Gerais - 5 Tips for Visiting Minas Gerais, Brazil",20160727
YU9rL3OvuDs,Historic town of ouro preto,347,We Visited a Supermarket in Brazil... (did not expect this!),20191210
K-wgzTXz6CU,Historic town of ouro preto,897,Iguazu Falls: What to Know Before Visiting Foz do Iguaçu,20210728
yosqaoDN8Zc,Historic town of ouro preto,863,We Visited the World's Coolest Border (CATARATAS DO IGUAÇU) 🇧🇷🇦🇷,20191218
SECRx5SVNnw,Historic town of ouro preto,750,What 1st time visitors to New Orleans need to know,20211009
L-B1rs2BsqQ,Historic town of ouro preto,451,We Found Giant Hamsters on the Streets of Brazil,20191116
Jv7LQqHtaE8,Historic town of ouro preto,615,Passeio de Trem de Ouro Preto à Mariana - MG,20180104
jflCEmSSW5E,Historic town of ouro preto,122,What to do with a 4 hour layover at LAX,20211002
SYoDFyuxqig,Historic town of ouro preto,570,El OTAMATONE que ha conseguido el PASE DE ORO de Risto | Audiciones 1 | Got Talent España 2021,20210115
EoU9pEMrNRU,Historic town of ouro preto,478,Historic Ouro Preto,20161030
ajeeohtJDF4,Historic town of ouro preto,574,Ouro Preto (Brazil) Vacation Travel Video Guide,20190620
j5rUEWo6ZB8,Historic town of ouro preto,119,ouro preto 307 anos,20180707
UF9ZJl9nHvU,Historic town of ouro preto,80,Os encantos e surpresas de Ouro Preto,20160513
96pkBujXMHQ,Historic town of ouro preto,382,Ouro Preto - Drone,20160626
OH0kCqnyOsw,Historic town of ouro preto,490,Imagens Aéreas de Ouro Preto de Drone,20190114
25jLjiIDRo0,Historic town of ouro preto,187,An Afternoon in Ouro Preto - A Cinematic 4k Dji Osmo Diary with Zenmuse X3,20170719
ctIX1AoroMI,Historic town of ouro preto,10,Ouro Preto MG... 🏞️🏞️,20210716
zlvy2p9Ho2E,Historic town of st george and related fortifications bermuda,172,"Historic Town of St George and Related Fortifications,  ... (UNESCO/NHK)",20130524
3Wg1oNgq3Pk,Historic town of st george and related fortifications bermuda,127,St. George's Bermuda | Drone Video,20200202
Rh3kEtWGYzQ,Historic town of st george and related fortifications bermuda,348,"Historic Town of St.  George, Bermuda",20191003
4HpiJoCYxJE,Historic town of st george and related fortifications bermuda,257,Biking through Bermuda's historic Town of St. George,20160705
8TdikEkIKgo,Historic town of st george and related fortifications bermuda,746,"UNESCO World Heritage Site: Historic Town of St George and Related Fortifications, Bermuda | Wik ...",20190614
ZNxDrEbxSnw,Historic town of st george and related fortifications bermuda,159,Bermuda - St George's 4K,20180526
LRze2blj2gE,Historic town of st george and related fortifications bermuda,52,"St. George's Parrish, Bermuda",20160501
yTpNTTs4Jd0,Historic town of st george and related fortifications bermuda,789,TOP 5 INCREDIBLE Locations In The Town of St. George's Bermuda,20201108
Zj__gUKnM-o,Historic town of st george and related fortifications bermuda,496,"BERMUDA'S historic and 😲 beautiful town of SAINT GEORGE, let's go!",20150307
YLitXdNimQY,Historic town of st george and related fortifications bermuda,97,"St  George, Bermuda",20210102
63kH1BQzl9k,Historic town of st george and related fortifications bermuda,118,Bermuda Forts,20190124
uEIl__ZMCzE,Historic town of st george and related fortifications bermuda,362,"St George, Bermuda",20091101
qfQTMk-7RnI,Old town lunenburg,338,Diver Solves 75 Year Old Mystery After Body Trapped In Plane Grabs Hold Of Him...,20200101
Ta1s_VP2CBs,Mir castle complex,514,8 Items MrBeast Owns That Cost More Than Your Life..,20210725
tNcB_QoH2uQ,Historic town of st george and related fortifications bermuda,360,Breathtaking Bermuda | Ambient Drone 4k,20200926
p99cd5xtNcs,Historic town of st george and related fortifications bermuda,172,Winsome Tours Bermuda Visits St George - a UNESCO World Heritage Site,20130723
aPTAJHNYFRM,Historic town of st george and related fortifications bermuda,61,"View at Gates Fort, Town Cut, St Georges, Bermuda",20120523
M1eaZ5pvIzg,Historic town of st george and related fortifications bermuda,681,Bermuda - St. George's | Sailing Britican #4,20170725
iuQk1gXWbhw,Historic town of st george and related fortifications bermuda,250,Captain Kay Heads to St. George- Bermuda (Vlog 33),20180703
Pjvf5jvpGVU,Historic town of st george and related fortifications bermuda,403,"BERMUDA: Exploring the abandoned Cathedral of St. George, amazing images",20140419
2RviT1r3_Hw,Historic town of st george and related fortifications bermuda,209,EVER HEARD OF BERMUDA | Amazing Drone Footage,20180826
EuYqSSsDwuo,Historic town of st george and related fortifications bermuda,158,Hamilton Bermuda in Lockdown!! | 4K Drone Video | DJI Mavic 2 Zoom,20200417
NoG2Gi7i-QU,Historic town of sukhothai and associated historic towns,153,Historic Town of Sukhothai and Associated Historic Towns (UNESCO/NHK),20100603
FxKZqjiGNZw,Historic town of sukhothai and associated historic towns,120,Historic Town of Sukhothai and Associated Historic Towns (UNESCO/TBS),20120822
R0CbUQwEqsI,Historic town of sukhothai and associated historic towns,1581,Historic Town of Sukhothai 🇹🇭 Thailand,20200319
IRcjuhBAl28,Historic town of sukhothai and associated historic towns,230,Historic Town of Sukhothai - UNESCO World Heritage Site,20190905
LulIYuoO4Ik,Historic town of sukhothai and associated historic towns,32,The Amazing Historic Town of Sukhothai,20140514
0-oHj8vgF8k,Historic town of sukhothai and associated historic towns,51,"Historic Town of Sukhothai, Thailand",20210420
cslaw6xvMWg,Historic town of sukhothai and associated historic towns,29,Sukhothai Historical Park w/Drone,20170917
Gvu-orc4GfU,Historic town of sukhothai and associated historic towns,504,fpv drone camera fly over Old King City : Sukhothai and new aerial view from thailand tourism place,20160330
E21aoD4LT78,Historic town of sukhothai and associated historic towns,110,Drone Video: Sukhothai (Thailand),20161203
lLwsztGN1Iw,Historic town of sukhothai and associated historic towns,201,"SUKHOTHAI "" the dawn of happiness """,20170221
W8bJ5unV6M8,Historic town of sukhothai and associated historic towns,484,Kamphaeng Phet Historical Park  UNESCO World Heritage Site Historic Town,20130410
5pzrTKN5JDE,Historic town of sukhothai and associated historic towns,96,Sukhothai Heritage of UNESCO. | SUKHOTHAI.,20140216
87a9-wgkCaQ,Historic town of sukhothai and associated historic towns,394,12 Photographs Mainstream Archaeology Does Not Want You to See,20180618
6kvJGn1IWAQ,Urban historic centre of cienfuegos,400,10 BEST PLACES FOR DRONE SHOTS,20201225
gCGJRXiFyjQ,Historic town of sukhothai and associated historic towns,8924,【4K】Drone RAW Footage | This is THAILAND 2020 | Bangkok | Koh Samui and More | UltraHD Stock Video,20200311
ufTWSlqilU4,Historic town of sukhothai and associated historic towns,110,"Drone ANCIENT CITY, THAILAND- Earth From Above 4k",20190908
mrQDZ3e0JIA,Historic town of sukhothai and associated historic towns,817,Sukhothai | Tailandia #8,20170320
SGZqX6UVao0,Historic town of sukhothai and associated historic towns,293,The History of Thailand: Every Year,20201205
_u4Y2DJSBsI,Historic town of sukhothai and associated historic towns,2132,History of Thailand,20140930
ZfolzRHJEaQ,Historic town of sukhothai and associated historic towns,139,"Ruins Of The Sukhothai Kingdom, Thailand",20161114
DiYlWO6wqpc,Historic town of sukhothai and associated historic towns,207,Kamphaeng Phet Historical Park . Mars 2021,20210307
A_m-9zGQQj4,Historic town of sukhothai and associated historic towns,195,Flying Over Sukhothai (Muang Kao) -The First Capital of Thailand,20180224
fuwOATYaELg,Historic town of sukhothai and associated historic towns,449,Kamphaeng Phet Historical Park,20171002
RD1cn0DtXBQ,Historic town of sukhothai and associated historic towns,23,SUKHOTHAI KINGDOM - Thailand,20110913
DXb772s6qTs,Historic town of sukhothai and associated historic towns,785,"Thailand 2021- Sukhothai Historic Town and North Thailand, Chiang Mai and Chiang Rai.",20210402
gsUQguRufRM,Historic town of sukhothai and associated historic towns,341,"Kamphaeng Phet, UNESCO World Heritage Site, Thailand",20190330
EtNVyi5DYWg,Historic town of sukhothai and associated historic towns,107,Best Sukhothai Historical Park Hotel in Sukhothai Old City (สุโขทัย) - Le Charme Sukhothai Resort,20160410
E5nsSKXWrCw,Historic town of vigan,46,Vigan Ilocos Sur Drone Shots,20180924
Yy0BRwd3Md0,Historic town of vigan,626,"VIGAN CITY, ILOCOS SUR 🐎| UNESCO HERITAGE SITE PHILIPPINES 🇵🇭",20210325
atJGyGOoqLQ,Historic town of vigan,335,LET'S EXPLORE NARVACAN ILOCOS SUR (DJI Mavic Mini) drone shots,20200930
Xiy9sQRt6Lw,Vizcaya bridge,529,10 Biggest Lies About The Philippines,20210427
by4qwA1VDCQ,Historic town of vigan,206,Calle Crisologo: A three-minute walk and tour (Vigan City),20190815
1nR421DaQiE,Historic town of vigan,375,Abandoned 300 year old Vigan Mansion | Abandoned Philippines,20191019
W0NmBS78ugw,Historic town of vigan,580,A day in a remote Italian village.,20200910
BJ51-1HV-lQ,Historic town of vigan,169,Diamond Rio Tour Bus TOUR  (4K),20160801
fKbRScNPNG0,Historic town of vigan,631,Vigan walking tour,20180401
VE8hQG_c1zM,Historic town of vigan,684,Vigan Architecture Documentary,20121014
