/wiki/List_of_World_Heritage_Sites_in_Africa;Ecosystem and Relict Cultural Landscape of Lopé-Okanda;Ogooue-Ivindoand Ogooue-Lolo, Gabon030N 1130E / 0.5N 11.5E
/wiki/List_of_World_Heritage_Sites_in_Africa;Ennedi Massif: Natural and Cultural Landscape;Chad170230N 215146E / 17.04167N 21.86278E
/wiki/List_of_World_Heritage_Sites_in_Africa;Fasil Ghebbi, Gondar Region;Amhara Region, Ethiopia123625N 372758E / 12.606920N 37.466170E
/wiki/List_of_World_Heritage_Sites_in_Africa;Fort Jesus, Mombasa;Mombasa, Kenya40346S 394046E / 4.062778S 39.679444E
/wiki/List_of_World_Heritage_Sites_in_Africa;Forts and Castles, Volta, Greater Accra, Central and Western Regions;Central Region,Greater Accra,Volta Region,and Western Region, Ghana51451N 04707W / 5.247398N 0.785167W
/wiki/List_of_World_Heritage_Sites_in_Africa;Fossil Hominid Sites of South Africa[c];Gauteng,Limpopo,and North West, South Africa240931S 291037E / 24.158610S 29.176940E
/wiki/List_of_World_Heritage_Sites_in_Africa;French Austral Lands and Seas;Crozet Islands,Kerguelen Islands,Ile Saint-Paul,Ile Amsterdam France492249S 692110E / 49.3803611S 69.3528056E
/wiki/List_of_World_Heritage_Sites_in_Africa;Garajonay National Park;La Gomera, Spain280734N 171414W / 28.126250N 17.237222W
/wiki/List_of_World_Heritage_Sites_in_Africa;Garamba National Park;Orientale, Democratic Republic of the Congo400N 2915E / 4N 29.25E
/wiki/List_of_World_Heritage_Sites_in_Africa;Gebel Barkal and the Sites of the Napatan Region;Meroe, Sudan183200N 314900E / 18.533333N 31.816667E
/wiki/List_of_World_Heritage_Sites_in_Africa;Gough and Inaccessible Islands;Saint Helena, United Kingdom401929S 95543W / 40.324722S 9.928611W
/wiki/List_of_World_Heritage_Sites_in_Africa;Great Zimbabwe National Monument;Masvingo Province, Zimbabwe201700S 305600E / 20.283333S 30.933333E
/wiki/List_of_World_Heritage_Sites_in_Africa;Harar Jugol, the Fortified Historic Town;Harari Region, Ethiopia91832N 420816E / 9.308889N 42.137778E
/wiki/List_of_World_Heritage_Sites_in_Africa;Historic Cairo;Cairo, Egypt300300N 311540E / 30.050000N 31.261110E
/wiki/List_of_World_Heritage_Sites_in_Africa;Historic Centre of Agadez;Tchirozerine Department, Niger165825N 75929E / 16.973611N 7.991389E
/wiki/List_of_World_Heritage_Sites_in_Africa;Historic City of Meknes;Meknes, Morocco335300N 53330W / 33.883330N 5.558330W
/wiki/List_of_World_Heritage_Sites_in_Africa;Historic Town of Grand-Bassam;Sud-Comoe, Cote d'Ivoire51145N 34411W / 5.195914N 3.736369W
/wiki/List_of_World_Heritage_Sites_in_Africa;Ichkeul National Park;Bizerte, Tunisia370949N 94029E / 37.163610N 9.674720E
